Comment,processed_text,tokens
Saya curiganya udah pada bisa bajak akses prosesor murah menjadi lebih tinggi untuk menjalankan game ps 5 dan xbox.jadi jangan dikira pada ganti laptop rog gitu aja si menurutku,curiga udah bajak akses prosesor murah jalan game ps xboxjadi ganti laptop rog gitu aja si turut,"['curiga', 'udah', 'bajak', 'akses', 'prosesor', 'murah', 'jalan', 'game', 'ps', 'xboxjadi', 'ganti', 'laptop', 'rog', 'gitu', 'aja', 'si', 'turut']"
"Gimana ya soalnya servernya nyambung yang di korut,sistemnya nitip dulu di server asli telkomsel dan langsung sambungin ke korut kota bawah tanah mungkin.sedikit ngada ada aja sih gitu mas",gimana ya servernya nyambung korutsistemnya nitip server asli telkomsel langsung sambungin korut kota tanah mungkinsedikit ngada aja sih gitu mas,"['gimana', 'ya', 'servernya', 'nyambung', 'korutsistemnya', 'nitip', 'server', 'asli', 'telkomsel', 'langsung', 'sambungin', 'korut', 'kota', 'tanah', 'mungkinsedikit', 'ngada', 'aja', 'sih', 'gitu', 'mas']"
"Biar lebih jadi anak jagoan,main sembunyi2an jadi hacker",biar anak jagoanmain sembunyi hacker,"['biar', 'anak', 'jagoanmain', 'sembunyi', 'hacker']"
"@@cahyoaroyanto5927 Jangan Kebanyakan Ngelem cil, keliatan banget ngawurnya kaya odgj 😂",cahyoaroyanto banyak ngelem cil liat banget ngawurnya kaya odgj,"['cahyoaroyanto', 'banyak', 'ngelem', 'cil', 'liat', 'banget', 'ngawurnya', 'kaya', 'odgj']"
Mending infinix ini atau lenovo slim 1 reyzn 3 ya?,mending infinix lenovo slim reyzn ya,"['mending', 'infinix', 'lenovo', 'slim', 'reyzn', 'ya']"
"@Indaaah aku dah beli lenovo ideapad slim 1. Aku mahasiswa, gak main game sih dan pake apk yg umum² editing dll. Aman. Gatau aku jatohnya mood nya bagus aja pake lenovo ini",indaaah dah beli lenovo ideapad slim mahasiswa gak main game sih pake apk yg umum editing dll aman gatau jatohnya mood nya bagus aja pake lenovo,"['indaaah', 'dah', 'beli', 'lenovo', 'ideapad', 'slim', 'mahasiswa', 'gak', 'main', 'game', 'sih', 'pake', 'apk', 'yg', 'umum', 'editing', 'dll', 'aman', 'gatau', 'jatohnya', 'mood', 'nya', 'bagus', 'aja', 'pake', 'lenovo']"
Nitip,nitip,['nitip']
Bang bikinin video laptop 5-7jt rekomen dengan alasan nya juga,bang bikinin video laptop jt rekomen alas nya,"['bang', 'bikinin', 'video', 'laptop', 'jt', 'rekomen', 'alas', 'nya']"
Buat corell bs gak,corell bs gak,"['corell', 'bs', 'gak']"
"Bang, mau wallpaper nya 🥲",bang wallpaper nya,"['bang', 'wallpaper', 'nya']"
"Bang, mending redmibook atau realme book",bang mending redmibook realme book,"['bang', 'mending', 'redmibook', 'realme', 'book']"
"Laptop X1 tidak bisa di cas, sdh dibersihkan port2 nya namun masih tdk bisa di car
  kira2 ada saran dr yg sdh pernah pakai.",laptop x cas sdh bersih port nya tdk car saran dr yg sdh pakai,"['laptop', 'x', 'cas', 'sdh', 'bersih', 'port', 'nya', 'tdk', 'car', 'saran', 'dr', 'yg', 'sdh', 'pakai']"
Review itel epic 1 bang,review itel epic bang,"['review', 'itel', 'epic', 'bang']"
"Sy punya laptop infinix inbook x1. Waktu batre 69%(tanpa di charge) laptop mati sendiri(shutdown), bisa idup kl d charge.
Uda prnh servis di service center(masih garansi) udah ganti batre.  Baru jalan 2hari. Skg mati nya di 46%. Kl ganti batre lg jg kayanya sama. 
Apa ad yg alami hal kaya gini jg pemilik infinix inbook x1?",sy laptop infinix inbook x batre charge laptop mati sendirishutdown idup kl d charge uda prnh servis service centermasih garansi udah ganti batre jalan skg mati nya kl ganti batre lg jg kaya ad yg alami kaya gin jg milik infinix inbook x,"['sy', 'laptop', 'infinix', 'inbook', 'x', 'batre', 'charge', 'laptop', 'mati', 'sendirishutdown', 'idup', 'kl', 'd', 'charge', 'uda', 'prnh', 'servis', 'service', 'centermasih', 'garansi', 'udah', 'ganti', 'batre', 'jalan', 'skg', 'mati', 'nya', 'kl', 'ganti', 'batre', 'lg', 'jg', 'kaya', 'ad', 'yg', 'alami', 'kaya', 'gin', 'jg', 'milik', 'infinix', 'inbook', 'x']"
Lebih baik lenovo v14 G2 atau infinix inbook x2 i7-1065G7 Bang? Terima kasih,lenovo v g infinix inbook x ig bang terima kasih,"['lenovo', 'v', 'g', 'infinix', 'inbook', 'x', 'ig', 'bang', 'terima', 'kasih']"
Udah pilih yg mana bang? Gw juga bingung 😢,udah pilih yg bang gw bingung,"['udah', 'pilih', 'yg', 'bang', 'gw', 'bingung']"
akhirnya beli yg mana bg?,beli yg bg,"['beli', 'yg', 'bg']"
"gabisa percaya sama laptop murah dengan iming iming spek tinggi. sekelas asus sama acer yang udah lama nguasain pasar aja belom berani banting harga. modelan xiaomi sama infinix udah hafal dari caranya bersaing di smsrtphone,ngasih spek tinggi tapi beberapa system diancurin.kalo hp sih masih mending kalo gpu burik atau cooler kurang berfungsi toh apk/software di hp ga berat² amat. nah laptop?bayangin fan coolernya bobrok?jadi panggangan dah tuh laptop",gabisa percaya laptop murah iming iming spek kelas asus acer udah nguasain pasar aja bom berani banting harga model xiaomi infinix udah hafal saing smsrtphonengasih spek system diancurinkalo hp sih mending kalo gpu burik cooler fungsi apksoftware hp ga berat laptopbayangin fan coolernya bobrokjadi panggang dah tuh laptop,"['gabisa', 'percaya', 'laptop', 'murah', 'iming', 'iming', 'spek', 'kelas', 'asus', 'acer', 'udah', 'nguasain', 'pasar', 'aja', 'bom', 'berani', 'banting', 'harga', 'model', 'xiaomi', 'infinix', 'udah', 'hafal', 'saing', 'smsrtphonengasih', 'spek', 'system', 'diancurinkalo', 'hp', 'sih', 'mending', 'kalo', 'gpu', 'burik', 'cooler', 'fungsi', 'apksoftware', 'hp', 'ga', 'berat', 'laptopbayangin', 'fan', 'coolernya', 'bobrokjadi', 'panggang', 'dah', 'tuh', 'laptop']"
"Rasanya ini lgi bakar uang, yg X2 aja malah bagus x1 katanya",lgi bakar uang yg x aja bagus x,"['lgi', 'bakar', 'uang', 'yg', 'x', 'aja', 'bagus', 'x']"
ada yg udah pake I3 slma 5 bulan coba review nya baru ngangkut barangkali ada penyakitnya atau ada kendala lain nya ?,yg udah pake i slma coba review nya ngangkut barangkali sakit kendala nya,"['yg', 'udah', 'pake', 'i', 'slma', 'coba', 'review', 'nya', 'ngangkut', 'barangkali', 'sakit', 'kendala', 'nya']"
jeroan dong,jeroan,['jeroan']
Storagenya gk bisa diupgrade ya,storagenya gk diupgrade ya,"['storagenya', 'gk', 'diupgrade', 'ya']"
Workit gk si bng ?Gua mau pake Autocad 2022 😪,workit gk si bng gua pake autocad,"['workit', 'gk', 'si', 'bng', 'gua', 'pake', 'autocad']"
"saya mau beli, cuman toko nya kata nya belom banyak, jadi takut kalo rusak beneri nya dimana",beli cuman toko nya nya bom takut kalo rusak beneri nya mana,"['beli', 'cuman', 'toko', 'nya', 'nya', 'bom', 'takut', 'kalo', 'rusak', 'beneri', 'nya', 'mana']"
Ko beli laptop ini saat di buka laptopnya bunyi krek y,ko beli laptop buka laptop bunyi krek y,"['ko', 'beli', 'laptop', 'buka', 'laptop', 'bunyi', 'krek', 'y']"
"Sekarang laku keras ni laptop tiap mau beli sold out sampe harus ke pusat :(
Semangat david 😊",laku keras ni laptop beli sold out sampe pusat semangat david,"['laku', 'keras', 'ni', 'laptop', 'beli', 'sold', 'out', 'sampe', 'pusat', 'semangat', 'david']"
Skrg harganya kena berapa kak?,skrg harga kena kak,"['skrg', 'harga', 'kena', 'kak']"
"kata mutiara   "" kayak sales""
kata kakak tadi. wwkwk",mutiara kayak sales kakak wwkwk,"['mutiara', 'kayak', 'sales', 'kakak', 'wwkwk']"
Bang berati gak bisa di upgrade ya bang ???,bang berat gak upgrade ya bang,"['bang', 'berat', 'gak', 'upgrade', 'ya', 'bang']"
Bang advice bang... Compare sama redmibook bang... Bagusan yang mana ya,bang advice bang compare redmibook bang bagus ya,"['bang', 'advice', 'bang', 'compare', 'redmibook', 'bang', 'bagus', 'ya']"
Laptop itu ada cd room nya ada nggak?,laptop cd room nya nggak,"['laptop', 'cd', 'room', 'nya', 'nggak']"
Untuk Pontianak bisa beli dimana ya ?,pontianak beli mana ya,"['pontianak', 'beli', 'mana', 'ya']"
Mantap ka pembawan nya santay dan kena banget dan rivyunya apa adanya mantap ka semangat,mantap ka pembawan nya santay kena banget rivyunya mantap ka semangat,"['mantap', 'ka', 'pembawan', 'nya', 'santay', 'kena', 'banget', 'rivyunya', 'mantap', 'ka', 'semangat']"
Mantap  sih. Tapi gimana dengan keyboard nya,mantap sih gimana keyboard nya,"['mantap', 'sih', 'gimana', 'keyboard', 'nya']"
"Bantu jawab dong, ini bagus gak untuk manajemen informatika? Lagi bingung milih laptop yg cocok😔",bantu bagus gak manajemen informatika bingung milih laptop yg cocok,"['bantu', 'bagus', 'gak', 'manajemen', 'informatika', 'bingung', 'milih', 'laptop', 'yg', 'cocok']"
Ini gabisa nyolok kabel lan ya?,gabisa nyolok kabel lan ya,"['gabisa', 'nyolok', 'kabel', 'lan', 'ya']"
Skin pesulap merah,skin sulap merah,"['skin', 'sulap', 'merah']"
"Kak mau tanya kemarin saya baru unboxing infinix x1, nah pas mau cas laptopnya saya salah memasukkan kabelnya, saya masukkan ke port usb c yang sebelahnya (yang untuk transfer file). Setelah sadar tidak ada indikator yang nyala, saya pindah ke port usb yang tepat untuk charging dan laptop pun nyala. Apakah ada efek buruk setelah kejadian tersebut?",kak kemarin unboxing infinix x pas cas laptop salah masuk kabel masuk port usb c belah transfer file sadar indikator nyala pindah port usb charging laptop nyala efek buruk jadi,"['kak', 'kemarin', 'unboxing', 'infinix', 'x', 'pas', 'cas', 'laptop', 'salah', 'masuk', 'kabel', 'masuk', 'port', 'usb', 'c', 'belah', 'transfer', 'file', 'sadar', 'indikator', 'nyala', 'pindah', 'port', 'usb', 'charging', 'laptop', 'nyala', 'efek', 'buruk', 'jadi']"
Semoga bisa kebeli,moga kebel,"['moga', 'kebel']"
"Bang untuk office only , netflix 
Ambil infinix x1 ini atau matebook d14 

Sy cuma cari charge type c , ringan , baterai tahan lama sama layar ips , lebih recommend yg mana harga selisih 2jtaan soalnya",bang office only netflix ambil infinix x matebook d sy cari charge type c ringan baterai tahan layar ips recommend yg harga selisih jtaan,"['bang', 'office', 'only', 'netflix', 'ambil', 'infinix', 'x', 'matebook', 'd', 'sy', 'cari', 'charge', 'type', 'c', 'ringan', 'baterai', 'tahan', 'layar', 'ips', 'recommend', 'yg', 'harga', 'selisih', 'jtaan']"
"Yang minus banget adalah chargernya.... Saya sudah 1 tahun pakai. Bulan2 awal pakai, daya chargernya kadang nggak masuk ke laptop. Makin lama makin parah... bulan juli ini tepat setahun, udah 2 hari sama sekali daya chargernya nggak masul di laptop. Udah coba pakai banyak colokkam tapi tetap sama. 😭😭😭😭",minus banget chargernya pakai pakai daya chargernya kadang nggak masuk laptop parah juli tahun udah daya chargernya nggak masul laptop udah coba pakai colokkam,"['minus', 'banget', 'chargernya', 'pakai', 'pakai', 'daya', 'chargernya', 'kadang', 'nggak', 'masuk', 'laptop', 'parah', 'juli', 'tahun', 'udah', 'daya', 'chargernya', 'nggak', 'masul', 'laptop', 'udah', 'coba', 'pakai', 'colokkam']"
"Seriusan, trs gmn tuh laptopnya? Gak dibawa ke service center?",serius trs gmn tuh laptop gak bawa service center,"['serius', 'trs', 'gmn', 'tuh', 'laptop', 'gak', 'bawa', 'service', 'center']"
@@amai8094 Ke service center beli kabel chargernya aja... sekitar 150rb an,ama service center beli kabel chargernya aja rb an,"['ama', 'service', 'center', 'beli', 'kabel', 'chargernya', 'aja', 'rb', 'an']"
"@@tirzadian11 oh yg masalah cuma kabelnya, murah lah..",tirzadian oh yg kabel murah,"['tirzadian', 'oh', 'yg', 'kabel', 'murah']"
"Sekarang gimana kak Laptop nya, masih aman kah?",gimana kak laptop nya aman kah,"['gimana', 'kak', 'laptop', 'nya', 'aman', 'kah']"
"Tetep asus yg trbaik buat laptop, kata teknisi laptop sich,,,..",tetep asus yg trbaik laptop teknisi laptop sich,"['tetep', 'asus', 'yg', 'trbaik', 'laptop', 'teknisi', 'laptop', 'sich']"
Saran laptop budget di 10 sampe 5 jt buat kuliah kak. Kalo bisa yang pas juga buat kerja.,saran laptop budget sampe jt kuliah kak kalo pas kerja,"['saran', 'laptop', 'budget', 'sampe', 'jt', 'kuliah', 'kak', 'kalo', 'pas', 'kerja']"
Cocok buat aplikasi rendering seperti autocad dll gitu gak si?,cocok aplikasi rendering autocad dll gitu gak si,"['cocok', 'aplikasi', 'rendering', 'autocad', 'dll', 'gitu', 'gak', 'si']"
Keren,keren,['keren']
Gokil gw ketebak sama bang david haha,gokil gw tebak bang david haha,"['gokil', 'gw', 'tebak', 'bang', 'david', 'haha']"
bang bagus yang mana infinix inbook x1 atau inbook x2,bang bagus infinix inbook x inbook x,"['bang', 'bagus', 'infinix', 'inbook', 'x', 'inbook', 'x']"
X1,x,['x']
Bisa ga sih laptop spek gini dipake editor ?,ga sih laptop spek gin dipake editor,"['ga', 'sih', 'laptop', 'spek', 'gin', 'dipake', 'editor']"
Isu engselnya mudah rusah apakah benar?,isu engsel mudah rusah,"['isu', 'engsel', 'mudah', 'rusah']"
Mudah mudahan bisa beli bismillah shalallahu ala Muhammad shalallahu alaihi wasallam shalallahu ala Muhammad shalallahu alaihi wasallam ya Habibi ya Muhammad ya arussal kofikoini ya Habibi ya Muhammad arussal kofikoini ya amuayya mumajad ya imamal kiblataini amin,mudah mudah beli bismillah shalallahu ala muhammad shalallahu alaihi wasallam shalallahu ala muhammad shalallahu alaihi wasallam ya habibi ya muhammad ya arussal kofikoini ya habibi ya muhammad arussal kofikoini ya amuayya mumajad ya imamal kiblataini amin,"['mudah', 'mudah', 'beli', 'bismillah', 'shalallahu', 'ala', 'muhammad', 'shalallahu', 'alaihi', 'wasallam', 'shalallahu', 'ala', 'muhammad', 'shalallahu', 'alaihi', 'wasallam', 'ya', 'habibi', 'ya', 'muhammad', 'ya', 'arussal', 'kofikoini', 'ya', 'habibi', 'ya', 'muhammad', 'arussal', 'kofikoini', 'ya', 'amuayya', 'mumajad', 'ya', 'imamal', 'kiblataini', 'amin']"
Bang review Asus xpertbook L1 1400/1500 dong 🙏🙏🙏,bang review asus xpertbook l,"['bang', 'review', 'asus', 'xpertbook', 'l']"
"Di online ada yg 5,6 dah dpt tas... Begitu ke marina surabaya, malah harganya 7,3 vangkeee 😂😂😂",online yg dah dpt tas marina surabaya harga vangkeee,"['online', 'yg', 'dah', 'dpt', 'tas', 'marina', 'surabaya', 'harga', 'vangkeee']"
mantap tuh tinggal tambah mouse wireless 200 ribuan udah mantep,mantap tuh tinggal mouse wireless ribu udah mantep,"['mantap', 'tuh', 'tinggal', 'mouse', 'wireless', 'ribu', 'udah', 'mantep']"
Servis center nya goib pasti....trcantum tp pas di cari ga ada..wk,servis center nya goib pastitrcantum tp pas cari ga adawk,"['servis', 'center', 'nya', 'goib', 'pastitrcantum', 'tp', 'pas', 'cari', 'ga', 'adawk']"
bang buat edit photoshop sama editor video bsa gak,bang edit photoshop editor video bsa gak,"['bang', 'edit', 'photoshop', 'editor', 'video', 'bsa', 'gak']"
"Bisa, asal jgn edit 4k..1080 msh mampu",jgn edit k msh,"['jgn', 'edit', 'k', 'msh']"
Bang nanya dong... Sound disampingnya tadi pake speaker apa yaak kalo boleh tahu??,bang nanya sound samping pake speaker yaak kalo,"['bang', 'nanya', 'sound', 'samping', 'pake', 'speaker', 'yaak', 'kalo']"
mikrofonnya kalo buat rekam bunyi kletek-kletek cara mengatasinya bagaimana ya kak? sudah update windows semua padahal,mikrofon kalo rekam bunyi kletekkletek atas ya kak update windows,"['mikrofon', 'kalo', 'rekam', 'bunyi', 'kletekkletek', 'atas', 'ya', 'kak', 'update', 'windows']"
"Semua produk dari x1 memang ada suaranya kak :( selain noise pd microphone, apa ada keluhan-keluhan lain?",produk x suara kak noise pd microphone keluhankeluhan,"['produk', 'x', 'suara', 'kak', 'noise', 'pd', 'microphone', 'keluhankeluhan']"
"Kalau di lihat sih emang wajar aja kalau infinix ngasih promo harga di bawah merek lain.. apalagi mereka status nya masih pemain baru untuk menggaet pelanggan yang ingin coba"" produk mereka..mungkin nanti nya kalau sudah tenar harga nya pasti akan merata dengan produk lain ya syukur aja kalau agak murah dikit aja 5% - 20%",lihat sih emang wajar aja infinix ngasih promo harga merek status nya main gaet langgan coba produk merekamungkin nya tenar harga nya rata produk ya syukur aja murah dikit aja,"['lihat', 'sih', 'emang', 'wajar', 'aja', 'infinix', 'ngasih', 'promo', 'harga', 'merek', 'status', 'nya', 'main', 'gaet', 'langgan', 'coba', 'produk', 'merekamungkin', 'nya', 'tenar', 'harga', 'nya', 'rata', 'produk', 'ya', 'syukur', 'aja', 'murah', 'dikit', 'aja']"
"After sales, gmana2 bang David?",after sales gmana bang david,"['after', 'sales', 'gmana', 'bang', 'david']"
baru nonton lagi haha,nonton haha,"['nonton', 'haha']"
Sekarang uda 5jutaan 👀 tambah worth lagi buat dibeli,uda juta worth beli,"['uda', 'juta', 'worth', 'beli']"
Wahh iya kah? Kemarin naik sampe 7 jutaan😔,wahh iya kah kemarin sampe juta,"['wahh', 'iya', 'kah', 'kemarin', 'sampe', 'juta']"
"@@muhammadarifmaulana8654 d toko offline surabaya masih 7 jutaan.. Tp di toko orange 5, 3 😅",muhammadarifmaulana d toko offline surabaya juta tp toko orange,"['muhammadarifmaulana', 'd', 'toko', 'offline', 'surabaya', 'juta', 'tp', 'toko', 'orange']"
@@petehoki2111 Woahgg.... tapi kalo online takut udah diambil gak sih mesinnya?😕,petehoki woahgg kalo online takut udah ambil gak sih mesin,"['petehoki', 'woahgg', 'kalo', 'online', 'takut', 'udah', 'ambil', 'gak', 'sih', 'mesin']"
Beli dimana bang,beli mana bang,"['beli', 'mana', 'bang']"
"Sekilas info stlh pemakaian 6 bln. Semua baik2 saja. Kecuali layar yg kadang nge glitch (tp aman stlh restart sdh kembali), yg sering bermasalah adalah wifinya (sering hilang icon wifi scr tiba2, jd tdk bisa digunakan meski sdh di restart network, ada yg bilang solusinya pakai usb wifi, tp blm dicoba, spr nya harus instal ulang win 10)",kilas info stlh pakai bln kecuali layar yg kadang nge glitch tp aman stlh restart sdh yg masalah wifinya hilang icon wifi scr jd tdk sdh restart network yg bilang solusi pakai usb wifi tp blm coba spr nya instal ulang win,"['kilas', 'info', 'stlh', 'pakai', 'bln', 'kecuali', 'layar', 'yg', 'kadang', 'nge', 'glitch', 'tp', 'aman', 'stlh', 'restart', 'sdh', 'yg', 'masalah', 'wifinya', 'hilang', 'icon', 'wifi', 'scr', 'jd', 'tdk', 'sdh', 'restart', 'network', 'yg', 'bilang', 'solusi', 'pakai', 'usb', 'wifi', 'tp', 'blm', 'coba', 'spr', 'nya', 'instal', 'ulang', 'win']"
Sekarang gimana kak? Masih aman kah?,gimana kak aman kah,"['gimana', 'kak', 'aman', 'kah']"
Lanjut bahas infinix inbook x2 bang David 🙏,bahas infinix inbook x bang david,"['bahas', 'infinix', 'inbook', 'x', 'bang', 'david']"
Bang @gadgedin ngga jual di shopee? Pengen kredit hehe,bang gadgedin ngga jual shopee ken kredit hehe,"['bang', 'gadgedin', 'ngga', 'jual', 'shopee', 'ken', 'kredit', 'hehe']"
Itu keren banget 10 jutaan udh dapet spek gahar,keren banget juta udh dapet spek gahar,"['keren', 'banget', 'juta', 'udh', 'dapet', 'spek', 'gahar']"
Worth it ini.. Yok masukan keranjang... Kumpulin duit 5 taun kedepan 😞,worth it yok masuk keranjang kumpulin duit taun depan,"['worth', 'it', 'yok', 'masuk', 'keranjang', 'kumpulin', 'duit', 'taun', 'depan']"
Mending redmibook 15 i3 atau infinix x1 i3 ?,mending redmibook i infinix x i,"['mending', 'redmibook', 'i', 'infinix', 'x', 'i']"
X1,x,['x']
seru ngga ya kalo buat main chatroom kayak MIRC,seru ngga ya kalo main chatroom kayak mirc,"['seru', 'ngga', 'ya', 'kalo', 'main', 'chatroom', 'kayak', 'mirc']"
Aku suka GadgetIn mulus kali iklannya kwkwk,suka gadgetin mulus kali iklan kwkwk,"['suka', 'gadgetin', 'mulus', 'kali', 'iklan', 'kwkwk']"
"Gaya si aki, bilang gaes 😂",gaya si aki bilang gaes,"['gaya', 'si', 'aki', 'bilang', 'gaes']"
"Alhamdulillah sudah kebeli infinix x1 i3 warna green sudah jalan 3 bulan lebih , tidak ada kendala sama sekali",alhamdulillah kebel infinix x i warna green jalan kendala,"['alhamdulillah', 'kebel', 'infinix', 'x', 'i', 'warna', 'green', 'jalan', 'kendala']"
"Aman kah bang, saya mau beli juga, tapimasalah batre gimana?",aman kah bang beli tapimasalah batre gimana,"['aman', 'kah', 'bang', 'beli', 'tapimasalah', 'batre', 'gimana']"
@@husaynmusarraf9318 aman aja bro,husaynmusarraf aman aja bro,"['husaynmusarraf', 'aman', 'aja', 'bro']"
Kalo wifi katanya jelek ya bg? Koneksinya,kalo wifi jelek ya bg koneksi,"['kalo', 'wifi', 'jelek', 'ya', 'bg', 'koneksi']"
@@Eza12 disaya aman bang,eza saya aman bang,"['eza', 'saya', 'aman', 'bang']"
sejauh ini msh aman kah? isu engselny gampang rusak gmn bang? rencana mau beli soalnya,msh aman kah isu engselny gampang rusak gmn bang rencana beli,"['msh', 'aman', 'kah', 'isu', 'engselny', 'gampang', 'rusak', 'gmn', 'bang', 'rencana', 'beli']"
"@@irmaapriliyantipjtn masih aman, engsel nya pun nggak ada masalah, dipake  buat kuliah, sambil game tipis²",irmaapriliyantipjtn aman engsel nya nggak dipake kuliah game tipis,"['irmaapriliyantipjtn', 'aman', 'engsel', 'nya', 'nggak', 'dipake', 'kuliah', 'game', 'tipis']"
"ini ak ada 1 unit, second pemakaian 6 bulan, mau jual, karena kebagusan kalau cuma buat anak sekolah. kalau minat silahkan japri :)",ak unit second pakai jual bagus anak sekolah minat silah japri,"['ak', 'unit', 'second', 'pakai', 'jual', 'bagus', 'anak', 'sekolah', 'minat', 'silah', 'japri']"
Mau bang,bang,['bang']
Japri? 😂,japri,['japri']
ada bluethooth gak?,bluethooth gak,"['bluethooth', 'gak']"
"Desain ok, tertarik, ketika saya beli dan... eng ing eng.. payah sekali laptop ni. Apalagi urusan tangkap sinyal wifi. Payah sepayah2nya laptop.",desain ok tarik beli eng ing eng payah laptop ni urus tangkap sinyal wifi payah payah laptop,"['desain', 'ok', 'tarik', 'beli', 'eng', 'ing', 'eng', 'payah', 'laptop', 'ni', 'urus', 'tangkap', 'sinyal', 'wifi', 'payah', 'payah', 'laptop']"
payah gmn bang? sy ada rencana mau beli soalnya,payah gmn bang sy rencana beli,"['payah', 'gmn', 'bang', 'sy', 'rencana', 'beli']"
"review laptopnya realme juga dong bang, pengen liat komparasinya kira-kira gimana",review laptop realme bang ken liat komparasi kirakira gimana,"['review', 'laptop', 'realme', 'bang', 'ken', 'liat', 'komparasi', 'kirakira', 'gimana']"
Klw david udh bilang bagus gaush ragu lagi langsung beli aja😭,klw david udh bilang bagus gaush ragu langsung beli aja,"['klw', 'david', 'udh', 'bilang', 'bagus', 'gaush', 'ragu', 'langsung', 'beli', 'aja']"
"Jangan dulu bang masalah nya itu baru, takutnya dijadiin kelinci percobaan tpi gw percaya bagus sih",bang nya takut dijadiin kelinci coba tpi gw percaya bagus sih,"['bang', 'nya', 'takut', 'dijadiin', 'kelinci', 'coba', 'tpi', 'gw', 'percaya', 'bagus', 'sih']"
Saran saya beli acer aspire Ryzen 5 5500u walapun ramnya 8 gb bisa di upgrade nambah 1 jutaan kurang lah,saran beli acer aspire ryzen u walapun ram gb upgrade nambah juta,"['saran', 'beli', 'acer', 'aspire', 'ryzen', 'u', 'walapun', 'ram', 'gb', 'upgrade', 'nambah', 'juta']"
Penyimpanan 512,simpan,['simpan']
@@rsa026 mHal njir 8jtan,rsa mhal njir jtan,"['rsa', 'mhal', 'njir', 'jtan']"
@@Eza12 serah,eza serah,"['eza', 'serah']"
@@rsa026 Acer aspire 4 apa 5 gan?,rsa acer aspire gan,"['rsa', 'acer', 'aspire', 'gan']"
Infinix i3 dikatakan memakai WiFi 5(ac). Di laptop saya kenapa munculnya WiFi 4(n) 802.11n.  Ada yang mengalami hal yg sama kah?,infinix i pakai wifi ac laptop muncul wifi n n alami yg kah,"['infinix', 'i', 'pakai', 'wifi', 'ac', 'laptop', 'muncul', 'wifi', 'n', 'n', 'alami', 'yg', 'kah']"
"Bapak Infinix Indonesia.. 
Brand Infinix auto meroket",infinix indonesia brand infinix auto roket,"['infinix', 'indonesia', 'brand', 'infinix', 'auto', 'roket']"
"saya sangat berterima kasih kepada infinix walau saya sendiri tidak menggunakan infinix, karena telah merusak harga pasaran dikala harga laptop blm turun.",terima kasih infinix infinix rusak harga pasar kala harga laptop blm turun,"['terima', 'kasih', 'infinix', 'infinix', 'rusak', 'harga', 'pasar', 'kala', 'harga', 'laptop', 'blm', 'turun']"
"Gua awam di dunia laptop. Laptop infinix x1 sama x2 yg lebih wort it yg mana? Juga berserta prosesornya. 

Kebutuhannya lebih khusus buat editing video, main game juga kalo bisa + enak. Thx",gua awam dunia laptop laptop infinix x x yg wort it yg serta prosesor butuh khusus editing video main game kalo enak thx,"['gua', 'awam', 'dunia', 'laptop', 'laptop', 'infinix', 'x', 'x', 'yg', 'wort', 'it', 'yg', 'serta', 'prosesor', 'butuh', 'khusus', 'editing', 'video', 'main', 'game', 'kalo', 'enak', 'thx']"
X1,x,['x']
"Gua awam di dunia laptop. Laptop infinix x1 sama x2 yg lebih wort it yg mana? Juga berserta prosesornya. 

Kebutuhannya lebih khusus buat editing video, main game juga kalo bisa + enak. Thx",gua awam dunia laptop laptop infinix x x yg wort it yg serta prosesor butuh khusus editing video main game kalo enak thx,"['gua', 'awam', 'dunia', 'laptop', 'laptop', 'infinix', 'x', 'x', 'yg', 'wort', 'it', 'yg', 'serta', 'prosesor', 'butuh', 'khusus', 'editing', 'video', 'main', 'game', 'kalo', 'enak', 'thx']"
cari yg core i7 gen 10 dijamin nyaman ram 16 dan ssd nvme,cari yg core i gen jamin nyaman ram ssd nvme,"['cari', 'yg', 'core', 'i', 'gen', 'jamin', 'nyaman', 'ram', 'ssd', 'nvme']"
"Info terbaru bang kendala laptop INFINIX yang perlu di ketahui... Saya pakai yang X1 i5, problem yang ternyata sering di alami user lain adalah SERING GAK BISA DI HIDUPIN LAPTOP NYA bukan karena batrei habis, tapi yang saya alami saya pencet tombol power laptop nya mati nyala mati nyala gak bisa hidup... 😭😭😭😭",info baru bang kendala laptop infinix tahu pakai x i problem alami user gak hidupin laptop nya batrei habis alami pencet tombol power laptop nya mati nyala mati nyala gak hidup,"['info', 'baru', 'bang', 'kendala', 'laptop', 'infinix', 'tahu', 'pakai', 'x', 'i', 'problem', 'alami', 'user', 'gak', 'hidupin', 'laptop', 'nya', 'batrei', 'habis', 'alami', 'pencet', 'tombol', 'power', 'laptop', 'nya', 'mati', 'nyala', 'mati', 'nyala', 'gak', 'hidup']"
Itu setelah pemakaian berapa lama bang? Selain tombol power ada masalah apalagi ya?,pakai bang tombol power ya,"['pakai', 'bang', 'tombol', 'power', 'ya']"
sekalian rekomen ugreen converter port ya bang?,rekomen ugreen converter port ya bang,"['rekomen', 'ugreen', 'converter', 'port', 'ya', 'bang']"
X1 sm X2 bagus mana kak?,x sm x bagus kak,"['x', 'sm', 'x', 'bagus', 'kak']"
Mari sambut di dunia gadget berarti yg sekarang,mari sambut dunia gadget yg,"['mari', 'sambut', 'dunia', 'gadget', 'yg']"
